Job Title,Company,Salary,Experience,City,Benefits,Skills
Trưởng Phòng Kinh Doanh (Mảng Giải Pháp Phần Mềm Cho Doanh Nghiệp),CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Tài chính, Telesales, B2B"
IT Comtor (Tiếng Nhật N2 Trở Lên) - Nghỉ T7 CN,CÔNG TY TNHH FLINTERS VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"IT Comtor, Tiếng Nh..., Nghỉ thứ 7, IT - Phần mềm"
Gameplay Developer - High Salary 50 Million,CÔNG TY TNHH SERVICE ONE GLOBAL,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"Tiếng Anh..., Game, Game Developer, IT - Phần mềm"
"IT Support(Intern Full-Time, Fresher Are Welcome)",CÔNG TY TNHH NETMARKS VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,
"Fullstack Software Engineers (Full-Time, Hybird) - Làm Tại Quận 1 HCM",CÔNG TY TNHH VIỆC CÓ,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,"Nghỉ thứ..., IT - Phần mềm"
Account Executive / Sales B2B / Martech Solutions (Tư Vấn Trải Nghiệm Khách Hàng Hoa Hồng Lên Tới 30% Deal),CÔNG TY CỔ PHẦN TÍCH HỢP CÔNG NGHỆ HUB - JS,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Market..., Direct Sales, B2B"
Trưởng Phòng Hệ Thống,"Pro
CÔNG TY CỔ PHẦN XÂY DỰNG CDC","Hà Nội
5 năm",Không yêu cầu,Khác,,IT...
Business Analyst,CÔNG TY TNHH NETMARKS VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,IT...
Hybrid Senior Graphic Designer (15-18tr),CÔNG TY TNHH TRUYỀN THÔNG WISE,"Hà Nội
4 năm",Không yêu cầu,Khác,,Marketin...
Talent Fresher - Sales Consultant/Business Development - B2B Công Nghệ (BASE REVENUE CHAMPIONS 2026),CÔNG TY CỔ PHẦN BASE ENTERPRISE,"Hà Nội & Hồ Chí Minh (mới)
Dưới 1 năm",Không yêu cầu,Khác,,"Telesales, Direct Sales"
PRE-SALES ENGINEER (IT Software) REMOTE WORK,CÔNG TY TNHH TOPSEC VIỆT NAM,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"B2C, IT..., B2B, An ninh mạng"
Lập Trình Viên AI,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
Embedded Software Engineer,CÔNG TY TNHH CÔNG NGHỆ MỚI 3HP,"Bắc Ninh (mới)
1 năm",Không yêu cầu,Khác,,1 năm k...
Nhân Viên Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,
QC/QA Engineer (Manual Tester),CÔNG TY TNHH COOLDEV,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,"2 năm ..., QA Engineer, Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Lập Trình Full Stack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ..., IT - Phần mềm"
Nhân Viên IT,CÔNG TY CP HOÀNG NAM,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Business Analyst - Đi Làm Ngay,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO ALTISSS,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT...
Kỹ Sư Bảo Mật Mạng (Network Security Engineer) / Cyber Security - Lương Gross Lên Đến 50 Triệu,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
5 năm",Không yêu cầu,Khác,,An ninh mạ...
"Middle/Senior Frontend Engineer(ReactJS,Fullstack)",PORTERS ASIA VIETNAM COMPANY LIMITED,"Hồ Chí Minh (mới)
4 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
"Business Analyst (BA) / Chuyên Viên Phân Tích Nghiệp Vụ Phần Mềm – Thu Nhập Upto 15M/Tháng (Tại Tân Sơn Hòa, Hồ Chí Minh)",CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ FASTWORK VIỆT NAM,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT...
Presales Engineer (IT Infrastructure / System / Network) – Fresher/Junior - HN/HCM,CÔNG TY TNHH TỔNG CÔNG TY CÔNG NGHỆ & GIẢI PHÁP CMC,"Hà Nội & Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Kỹ Sư AI,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"An ninh mạng, AI Engineer, Nghỉ..., IT - Phần mềm"
"System Engineer/ Kỹ Sư Hạ Tầng IT (Dell Server, NVIDIA GPU, VMware) - Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
3 năm",Không yêu cầu,Khác,,
Nhân Viên Thiết Kế Đồ Hoạ - Thời Trang (Lương Lên Đến 12tr) Tại Hồ Chí Minh,CÔNG TY CỔ PHẦN VINA KIDS,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Thiết kế...
Leader Design (Yêu Cầu Kinh Nghiệm Lĩnh Vực Bất Động Sản),CÔNG TY TNHH TRUYỀN THÔNG UREKA VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,Marketin...
Nhân Viên Software Developer – Froned (Dev) - Làm Việc Tại Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,"Hà Nội
3 năm",Không yêu cầu,Khác,,Đại H...
Frontend ReactJS Developer,CÔNG TY TNHH LG CNS VIỆT NAM,"Hà Nội
4 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
Nhân Viên IT Phần Mềm Và Phần Cứng (Biết Tiếng Trung Giao Tiếp Cơ Bản),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HUYÊN PHONG,Thỏa thuận,Không yêu cầu,Khác,,
Nhân Viên Tư Vấn Giải Pháp Công Nghệ Thông Tin,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội & 2 nơi khác
1 năm",Không yêu cầu,Khác,,"Nghỉ ..., IT - Phần mềm"
Nhân Viên Thiết Kế (Photoshop & Figma) - Hồ Chí Minh,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC (VIỆT NAM) BLACK PEARL,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,1 năm ki...
Graphic Designer POD ( Thu Nhập Đến 15 Triệu - Đi Làm Ngay ),CÔNG TY TNHH NẾN THƠM KHỦNG LONG,"Hồ Chí Minh (mới)
Dưới 1 năm",Không yêu cầu,Khác,,Dưới 1 n...
Middle/Senior Backend Engineer (Fullstack),PORTERS ASIA VIETNAM COMPANY LIMITED,"Hồ Chí Minh (mới)
4 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên IT - IT Network,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Nhân Viên Thiết Kế Sản Phẩm - Designer - Hồ Chí Minh,CÔNG TY TNHH FIX GROUP,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,Thương m...
Kỹ Sư Hệ Thống Nhúng,CÔNG TY TNHH ĐIỆN TỬ R&P,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT - Ph...
"Nhân Viên IT, Đi Làm Ngay, Lương Thỏa Thuận Theo Năng Lực, Hà Nội - HCM",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ĐỒ HỌA SOLUCA,"Hà Nội & Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"Kỹ thuật IT, IT - Phần mềm"
"IT Helpdesk, Tại Hồ Chí Minh, Đi Làm Ngay",CÔNG TY TNHH CÔNG NGHỆ - DỊCH VỤ SMART SERVICES,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Nhân Viên Ngôn Ngữ Dữ Liệu - Tiếng Tây Ban Nha/Bồ Đào Nha/Thái (Không Yêu Cầu Kinh Nghiệm),CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,Nghỉ thứ...
Fresher Data Analytics Engineer (Chương Trình Data Nova Upto 8M),APERO TECHNOLOGIES GROUP,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,"Data Analyst, Nghỉ thứ 7"
Thực Tập Sinh Phát Triển Website Giỏi SEO,HELICORP,Thỏa thuận,Không yêu cầu,Khác,,
Nhân Viên Thiết Kế (Graphic Designer) - Thu Nhập 12 - 15 Triệu,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO TÂN HẢI THÁI,Thỏa thuận,Không yêu cầu,Khác,,Tuổi 22 ...
Kỹ Sư Triển Khai Hệ Thống,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,Thỏa thuận,Không yêu cầu,Khác,,"Kỹ thuật IT, IT ..."
Kỹ Sư Giải Pháp Phần Mềm/ Software Developer,"Pro
CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT","Hà Nội
2 năm",Không yêu cầu,Khác,,"IT - Phầ..., IT - Phần mềm"
.NET Developer_Từ 3 Năm Kinh Nghiệm,"Pro
CÔNG TY CỔ PHẦN HỆ THỐNG CÔNG NGHỆ ETC","Hà Nội
3 năm",Không yêu cầu,Khác,,"3 năm kinh ..., Nghỉ thứ 7"
IT Support - Quản Trị Hệ Thống,CÔNG TY TNHH P.A VIỆT NAM,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Java Developer ( Junior),CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ ĐỨC VIỆT,"Hà Nội
1 năm",Không yêu cầu,Khác,,"1 năm kinh..., IT - Phần mềm"
IT Support / IT Helpdesk - Quận 9 (Sử Dụng Tiếng Anh Giao Tiếp Và Làm Việc),CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Chuyên Viên Thiết Kế Đồ Họa,CÔNG TY TNHH PAPER ART VIỆT,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,2 năm ki...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,IT...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,IT...
"Kỹ Sư Giải Pháp Điện Toán Đám Mây / Senior Cloud Engineer (OpenStack, VCF, SDN) – Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Cloud Engineer, IT - Phần mềm"
Java Engineer,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Designer 2D; 3D,CÔNG TY TNHH TRUYỀN THÔNG SỰ KIỆN WINNER,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,Thiết kế...
Level Designer (Game/VR) - Job Now,CÔNG TY TNHH SERVICE ONE GLOBAL,Thỏa thuận,Không yêu cầu,Khác,,"Game, Concept Artist"
Fullstack Developer (NodeJs) - Yêu Cầu Kinh Nghiệm Từ 4 Năm Trở Lên (CoolMate),CÔNG TY TNHH FASTECH ASIA,"Hà Nội
4 năm",Không yêu cầu,Khác,,"Thương mại..., IT - Phần mềm"
Nhân Viên Kinh Doanh Phần Mềm B2B - Thu Nhập Từ 13 - 20 Triệu,CÔNG TY TNHH CÔNG NGHỆ VIHAT,Thỏa thuận,Không yêu cầu,Khác,,"Có hỗ trợ Data, B2B, Nghỉ..."
Junior Dev Fullstack Java Kiêm ReactJS - Thu Nhập Upto 18 Triệu Tại Hà Nội,CÔNG TY TNHH KOBIZO VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"1 năm ki..., IT - Phần mềm"
"GUI Designer - Lương Từ 8 - 18tr /Tháng, Làm Từ T2 - T6, Đi Làm Ngay",CÔNG TY TNHH DO&BE VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,UI/UX Design
Android Developer,CÔNG TY TNHH LG CNS VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"T..., Nghỉ thứ 7, IT - Phần mềm"
Lập Trình Viên Fullstack (Fresher/ Junior),CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,Thỏa thuận,Không yêu cầu,Khác,,"Tuổi 22 - 28, Không yêu..."
System Engineer Thu Nhập 15M++ - Kỹ Sư Hệ Thống TP. HCM - Kinh Nghiệm Từ 2 Năm,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIẢI PHÁP VIỆT,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Tiếng A...
Nhân Viên Hỗ Trợ Sản Phẩm Biết Tiếng Anh Hoặc Tiếng Trung,CÔNG TY TNHH MẠNG LƯỚI THÔNG MINH VIỆT NAM,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Nhân Viên Thiết Kế Thị Trường Quốc Tế- Designer POD (Có Từ 1 Năm Kinh Nghiệm),CÔNG TY TNHH TOP GMV GLOBAL,"Hà Nội
1 năm",Không yêu cầu,Khác,,May mặc ...
Software Tester Tại Hà Nội,CÔNG TY TNHH MICROTEC VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,IT ...
Nhân Viên Triển Khai Bản Vẽ 2D (Part Time) - Trên Toàn Quốc (Trừ Huế Và Đà Nẵng),CÔNG TY TNHH CUBICASA VIỆT NAM - CHI NHÁNH THỪA THIÊN HUẾ,"Hà Nội & 31 nơi khác
Không yêu cầu",Không yêu cầu,Khác,,Không yê...
Nhân Viên Software Developer - Backend (Dev) - Làm Việc Tại Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,"Hà Nội
3 năm",Không yêu cầu,Khác,,Đại Họ...
Kỹ Sư Hệ Thống (Lương Up To 25M),JPROTECH TECHNOLOGY JSC,"Hà Nội
2 năm",Không yêu cầu,Khác,,
"Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ (Tín Dụng, Thanh Toán)","Pro
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN THỊNH VƯỢNG VÀ PHÁT TRIỂN – PGBANK","Hà Nội
3 năm",Không yêu cầu,Khác,,IT...
Production Data Executive - 1 Năm Kinh Nghiệm - Thu Nhập Hấp Dẫn - Tại Hà Nội,CÔNG TY TNHH ESOFT VIETNAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Cao Đẳng tr..., Data Analyst"
Nhân Viên Kinh Doanh CNTT,CÔNG TY CỔ PHẦN CÔNG NGHỆ DTG,"Hồ Chí Minh (mới) & 2 nơi khác
1 năm",Không yêu cầu,Khác,,"B2..., Direct Sales, B2B, B2G"
(VN 216) Kỹ Sư Phát Triển Phần Mềm Nhúng Matlab Simulink - Được Chọn Làm Tại VN Hoặc Nhật Bản,CTY TNHH R TECHNO VIỆT NAM,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Điện / ...
Machine Learning Engineer - 3 Năm Kinh Nghiệm - Thu Nhập Upto 60M - Tại Hà Nội,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
Kỹ Sư Dữ Liệu Lớn (Big Data Engineer),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Data Engineer, 1 nă..., Nghỉ thứ 7, IT - Phần mềm"
"Giảng Viên Đào Tạo Python Fulltime/Parttime, Từ 2 Năm Kinh Nghiệm, Làm Việc Tại Hà Nội/Hồ Chí Minh",CÔNG TY CỔ PHẦN RIKKEI EDUCATION,"Hà Nội & Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT - ...
Nhân Viên Thiết Kế,CÔNG TY CP KIDS PLAZA,"Hà Nội
2 năm",Không yêu cầu,Khác,,Marketin...
"Nhân Viên Nhập Và Xử Lý Dữ Liệu Tiếng Nhật N3 N2 (Thu Nhập Hấp Dẫn, Nghỉ Thứ 7 - Chủ Nhật)",CÔNG TY CỔ PHẦN ALTIUS LINK VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,Giáo dục...
Nhân Viên Kinh Doanh Dự Án B2B (IT/Telecom),"Pro
CÔNG TY TNHH MTV VIỄN THÔNG QUỐC TẾ FPT","Hồ Chí Minh (mới) & 3 nơi khác
2 năm",Không yêu cầu,Khác,,Direct S...
Nhân Viên Manual Tester Tại Hà Nội (Lương: 12 Triệu - 15 Triệu),CÔNG TY TNHH DASVISION,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Manual Tester, IT - Phần m..."
Chuyên Viên Phát Triển Kinh Doanh (B2B) | Kinh Nghiệm Trên 5 Năm | Lương Cứng Tới 20 Triệu + Thưởng | Remote Hà Nội,CÔNG TY TNHH MANABIE VIỆT NAM,"Hà Nội
Trên 5 năm",Không yêu cầu,Khác,,"IT ..., Direct Sales, B2B"
Thiết Kế Đồ Họa/ Graphic Designer (Team Thiết Kế Ngành Wedding & Event) Lương Upto 18 Triệu,CTY TNHH JW WEDDING & EVENT ACADEMY VIỆT NAM,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Thiết kế...
Chuyên Viên Phân Tích Nghiệp Vụ/Business Analyst (BA) - Hà Nội - Thử Việc Full Lương - Ưu Tiên Đi Làm Ngay,CÔNG TY TNHH NEWEZ VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,Ng...
Kỹ Sư Phát Triển Phần Mềm (Android Và Set-Top Box),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"1 năm kinh ..., IT - Phần mềm"
"Project Manager [Hà Nội] - Good At English, Atleast 3 Years Experienced",CÔNG TY CỔ PHẦN POWERGATE SOFTWARE,"Hà Nội
3 năm",Không yêu cầu,Khác,,
Senior QA Engineer,CÔNG TY TNHH ALCHEMY TECHNOLOGIES,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"QA Engineer, IT - Phần mềm"
AI Engineer (Agentic System/R&D LLM/NLP Computer Vision)_Robotics IoT - 2 Năm KN Production,"STEP UP EDUCATION.,JSC","Hà Nội
2 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
Business Analyst 2 Năm Kinh Nghiệm,CÔNG TY CỔ PHẦN EVERFLOW,"Hà Nội
2 năm",Không yêu cầu,Khác,,Ng...
Nhân Viên Thiết Kế - Ngành POD,CÔNG TY TNHH VIKCOM,Thỏa thuận,Không yêu cầu,Khác,,Thương m...
Fullstack Developer Tại Hà Nội (Lương: 10 Triệu - 14 Triệu),CÔNG TY TNHH DASVISION,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ..., IT - Phần mềm"
Trưởng Ca/Giám Sát Vận Hành Hệ Thống Kỹ Thuật ( Điện/Công Nghệ Thông Tin) - Thu Nhập Cạnh Tranh,CÔNG TY CỔ PHẦN PHÁT TRIỂN TRẠM SẠC TOÀN CẦU V-GREEN,"Hà Nội & Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,
Nhân Viên Triển Khai Bản Vẽ 2D (Full Time) - Trên Toàn Quốc (Trừ Huế Và Đà Nẵng),CÔNG TY TNHH CUBICASA VIỆT NAM - CHI NHÁNH THỪA THIÊN HUẾ,"Hà Nội & 31 nơi khác
Không yêu cầu",Không yêu cầu,Khác,,Không yê...
Nhà Khoa Học Dữ Liệu (Data Scientist),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Data Scientist, Nghỉ thứ 7"
Nhân Viên Kinh Doanh Phần Mềm (Thu Nhập 15-30Tr/Tháng - Không Yêu Cầu Kinh Nghiệm),CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,"Hồ Chí Minh (mới) & 18 nơi khác
Không yêu cầu",Không yêu cầu,Khác,,"Telesales, Direct Sales"
Kiểm Thử Mobile Apps & Website - Tester (QA/QC),CÔNG TY CỔ PHẦN TOH GROUP,"Hà Nội
1 năm",Không yêu cầu,Khác,,IT ...
Kỹ Sư Công Nghệ Thông Tin - 1 Năm Kinh Nghiệm - Thu Nhập 18 - 30 Triệu - Tại Hà Nội,CÔNG TY TNHH CÔNG NGHỆ NGUYÊN LỘC,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Viễn thô..., Kỹ thuật IT, Xây dựng, IT - Phần mềm"
Thực Tập Sinh Thiết Kế,CÔNG TY TNHH ĐẦU TƯ & PHÁT TRIỂN APG,Thỏa thuận,Không yêu cầu,Khác,,Thiết kế...
Backend Engineer,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,"Hà Nội
3 năm",Không yêu cầu,Khác,,"3 năm kinh..., IT - Phần mềm"
Lâp Trình Viên/ Software Engineer/ IT,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN NGỌC DIỆP,Thỏa thuận,Không yêu cầu,Khác,,"Không yêu ..., IT - Phần mềm"
Kỹ Sư/Chuyên Viên Phần Mềm Nhúng,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"1 năm kinh..., IT - Phần mềm"
Kỹ Sư Tự Động Hóa Quy Trình AI (Senior),CÔNG TY TNHH FOTOBER MEDIA,"Hà Nội
3 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
ECommerce Business Data Analyst,BSS GROUP,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Data Analyst, IT - Phần mềm"
Presales Engineer / Kỹ Sư Giải Pháp CNTT,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG,"Hà Nội
1 năm",Không yêu cầu,Khác,,
IT System Engineer/ Kỹ Sư IT (Level 3),CÔNG TY TNHH DESIGNLIVE,"Hồ Chí Minh (mới)
4 năm",Không yêu cầu,Khác,,IT - Phần mềm
Product Specialist,CÔNG TY CỔ PHẦN TOPCV VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., Nhân sự"
UX/UI Designer (Products Lab / Startup Studio),CÔNG TY TNHH OS RESEARCH,"Hồ Chí Minh (mới)
5 năm",Không yêu cầu,Khác,,"IT - Phần mềm, Nghỉ thứ 7, Tiếng..., UI/UX Design"
Chuyên Viên Kinh Doanh Tư Vấn Phần Mềm - Hộ Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ KIOTVIET,"Hà Nội & 11 nơi khác
Dưới 1 năm",Không yêu cầu,Khác,,"Telesales, Direct Sales"
Designer Cum Tiktoker Creative (Salary 12 - 20M),CÔNG TY TNHH SAIGON VENUS,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,1 năm ki...
Nhân Viên Tư Vấn/Kinh Doanh Ngành Game Làm Việc Tại Văn Phòng,CÔNG TY CỔ PHẦN SMARTSCALE,"Hồ Chí Minh (mới)
Dưới 1 năm",Không yêu cầu,Khác,,"B2C, D..., Game, IT - Phần mềm"
Bridge Engineer (Tiếng Nhật N2 Trở Lên)-Nghỉ T7 CN,CÔNG TY TNHH FLINTERS VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
Kế Toán/Kiểm Toán Làm Chuyên Viên Kiểm Thử Phần Mềm (QC/Tester),CÔNG TY CỔ PHẦN MISA,"Hà Nội
1 năm",Không yêu cầu,Khác,,IT ...
"Nhân Viên Kinh Doanh ( Thiết Bị CNTT Và Phần Mềm)_ Lương Cứng 10 - 20 Triệu/Tháng - Cầu Giấy, Hà Nội",CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,"Hà Nội
1 năm",Không yêu cầu,Khác,,B2B
Product Owner (Shopify),TIGREN SOLUTIONS,"Hà Nội
2 năm",Không yêu cầu,Khác,,IT - Phần m...
"Nhân Viên Kỹ Thuật [Hà Nội] - Thu Nhập Cạnh Tranh, Tối Thiểu 2 Năm Kinh Nghiệm",CÔNG TY TNHH THƯƠNG MẠI WATERFLOW,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Thương ..., IT - Phần mềm"
Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ Rủi Ro Tín Dụng,"Pro
CÔNG TY CP KINH DOANH F88","Hà Nội
3 năm",Không yêu cầu,Khác,,Ng...
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),"Pro
TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN","Hà Nội
3 năm",Không yêu cầu,Khác,,3 ...
Nhân Viên Phân Tích Nghiệp Vụ (BA),EDUFIT,"Hà Nội
2 năm",Không yêu cầu,Khác,,IT...
QC Mid-Senior,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH GOLINE,"Hà Nội
2 năm",Không yêu cầu,Khác,,IT ...
Networks Engineer/Kỹ Sư Mạng - Thu Nhập Upto 20tr (Hà Nội),CÔNG TY TNHH NETMARKS VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,
Nhân Viên Design Full-Time (Lương Cơ Bản: 8.5 - 12 Triệu + Thưởng),CÔNG TY TNHH TABCOM CARE,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,Mỹ thuật...
Senior AI Engineer,CÔNG TY TNHH DIGI-TEXX,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"An ninh mạng, AI Engineer, Điện..., IT - Phần mềm"
